24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
26-02-2015||commentary||---------||Rethinking the Ukraine Crisis :||A false narrative about the civil war in Ukraine prevails in the West — that this is a war between Ukraine and Russia. This hostile positioning of Russia is in line with the need to heighten tensions between the North Atlantic Treaty Organization and Russia, a phenomenon that has its legacy in the Cold War.||Robert H Wade
26-02-2015||commentary||---------||Food Sufficiency in India : Addressing the Data Gaps||The National Sample Survey Office's survey of consumption expenditure is woefully inadequate for estimating the number of food-insecure households in India. Future surveys of NSSO need to collect information on the four pillars of food security: availability, access, nutritional adequacy/utilisation and stability. The Comprehensive Nutrition Survey in Maharashtra is an example of such a survey and appears to do a decent job of capturing the different elements of food security.||S Chandrasekhar,Vijay Laxmi Pandey
26-02-2015||commentary||---------||On Horror and Helplessness : After Peshawar||The horror of contemporary terror attacks and warfare is the conjoining of vulnerability with helplessness. What contemporary horror achieves is the utter and complete annihilation of the structures that constitute the sustaining world of the truly helpless.||Pramod K Nayar
26-02-2015||commentary||---------||National Health Policy 2015 : A Narrow Focus Needed||Since independence, India's national health policies have been aspirational but the end results have been limited. The National Health Policy 2015, which is in the process of being finalised, should, in place of the earlier "broadband" approach, adopt a "narrow focus" on primary healthcare through the National Rural Health Mission. The latter has focused on primary healthcare and has shown visible results. A slew of suggestions as to how this can be done are made in this article.||Javid Chowdhury
26-02-2015||commentary||---------||Slippery Slope for Public Health Services||The draft national health policy suggests that public health services should be held accountable according to commercial principles, which would have a deleterious impact on public health.||Anant Phadke
25-02-2015||insight||---------||Cheap Oil, Climate Change Mitigation and India :||The oil crash of 2014 is expected to have a moderate impact on the global economy with oil importers seeing a boost in growth. The long-term impacts on climate change are difficult to predict but it is very likely that these might even be beneficial to the process of decarbonising the global energy economy. Most countries, including India, could use the opportunity to reduce fossil fuel subsidies and invest in renewable energy instead.||Shoibal Chakravarty
25-02-2015||conflict, transition and development||---------||War, Conflict and Development : Towards Reimagining Dominant Approaches||These articles on the challenges of development in post-war or post-conflict societies offer an opportunity to engage critically with the issue from a viewpoint that embraces politically contextualised and non-paradigmatic approaches to war and conflict. At the same time, they underline the importance of exceeding it to enable the recovery of other political, economic and social problematics. Such an approach is a necessary first step in reimagining dominant approaches to development in the context of war and transitions and setting really transformative agendas.||Vijay K Nagaraj
25-02-2015||conflict, transition and development||---------||Protests and Counter Protests : Competing Civil Society Spaces in Post-war Sri Lanka||The value of civil society lies in that it provides a space for alternative views, debate, and dissent. Yet, this paper points out, civil society in post-war Sri Lanka is captive to the forces of local and global politics. While this has resulted in the emergence of new forms of resistance and dissent, it has also given rise to less palatable, illiberal, and dangerous movements such as the resurgence of radical Sinhala Buddhist activism. The tacit state approval granted to these movements has meant that state response to different civil society groups has been markedly lopsided. Thus, post-war Sri Lankan society has been subject to greater state control and an extreme polarisation of values and ideas.||
25-02-2015||conflict, transition and development||---------||Contradictions of the Sri Lankan State :||The policies of the Sri Lankan state since the late 1970s have seen a widening gap between its neo-liberal foundations and its attempts to claim popular legitimacy, and this structure of politics seems set to persist. This paper argues that the tension between neo-liberalism and populism is articulated in the disparity between the island's urban and rural areas, and vice versa. This defines contradictory aspects of the Sri Lankan state as we understand its appeal to different constituencies, both the new urban middle classes and increasingly impoverished small farmers. Instead of looking at how neo-liberalism deploys populism to garner mass support, the study examines the messy consequences of the ways in which populism attempts to manage the effects of neo-liberalism, manifest primarily in the increasing immiseration of the masses.||Devaka Gunawardena
25-02-2015||conflict, transition and development||---------||The Reintegration of Maoist Ex-Combatants in Nepal :||In Nepal, a decade-long insurgency, led by the Unified Communist Party of Nepal (Maoist) continued till 2006, claimed more than 13,000 lives, and displaced thousands of people. Arguing that Nepal has moved forward in reintegrating its former combatants, this paper points out that this is a task that many other countries have failed to carry out successfully. It demonstrates that the country's approach to reintegration was unique and unorthodox, but, in some ways, effective. Nevertheless, there were problems and some of them persist, especially to do with social reintegration, in particular, gender and caste relations. The process of reintegration is far from complete, given that the former combatants left their cantonments only in 2012.||Chiranjibi Bhandari
25-02-2015||conflict, transition and development||---------||Myanmar: Conflicts over Land in a Time of Transition :||Secure and just land tenure, and sound management of land and natural resources are crucial to easing conflicts between farmers, the State, and extractive industries. This paper underlines that Myanmar cannot hope to achieve inclusive social and economic development without a just and comprehensive framework that protects the land rights of small farmers, ethnic minorities, and the poor. A lack of participation and transparency in land management, coupled with legal and institutional weaknesses that work in favour of big capital rather than small farmers and the rural poor, poses a major challenge to the country's social and economic reform programme.||Soe Nandar Linn
25-02-2015||conflict, transition and development||---------||Making Pickles during a Ceasefire : Livelihood, Sustainability, and Development in Nagaland||Development projects in the North East are packaged as economic interventions to improve the lives of people, but are detached from militarised ground realities. These initiatives to rebuild post-conflict societies mainly focus on training entrepreneurs and promoting livelihood schemes while overlooking how violence has transformed the very foundation of these societies. Generalising from the example of a workshop on food preservation in Nagaland that had no participants, this paper points out that governance should be rooted in the political and social history of a place - it should not be categorised as a time-bound crisis management project.||Dolly Kikon
26-02-2015||conflict, transition and development||---------||Peeling the Onion : Social Regulation of the Onion Market, Nangarhar, Afghanistan||Afghanistan's hope that market-driven agriculture will ensure its economic transformation demonstrates a wilful disregard of the links between the economic and political marketplaces in the country, and the pervasive rent-seeking practices of informal and formal power holders. This paper, based on a study of the onion markets in Nangarhar, a south-eastern province, reports on how an agricultural commodity market works in practice, and the ways in which social relationships regulate access to it. It is not access to credit and market information that constrains growth, as aid agencies seem to believe, but the practices of a trade elite that largely operates on informal credit and relationships of trust based on close personal networks.||Adam Pain,GIulia Minoia,Wamiqullah Mumtaz
26-02-2015||special articles||---------||Crime against Women and Children in Delhi : Analysis of Secondary and Empirical Data||This paper analyses crime against women and children in Delhi based on two data sources, the National Crime Records Bureau and an empirical data set of the Perceptions Survey of the Delhi Human Development Report, 2013. Using the NCRB data, the paper analyses trends in the rate and composition of crime against women and children from 2004-2006 to 2010-2012, including charge sheets and convictions. Results from the Perceptions Survey highlight the spatial nature of crime in the state, the differential experience of crime by social groups, as well as men and women. A key finding is the high vulnerability of children to crime in the city. What emerges from the comparison of secondary and primary data is the simultaneous existence of incidence of crime on the one hand and perception of crime and violence on the other. A combination of various data sources is important to capture both incidence and perception in order to gain a more holistic and in-depth understanding of crime and violence, a vastly under-researched topic in the social sciences.||Amrita Datta,Shivani Satija
27-02-2015||special articles||---------||Policy Options for including Petroleum, Natural Gas and Electricity in the Goods and Services Tax :||This study analyses the impact of keeping crude petroleum, natural gas, motor spirit (gasoline/petrol), high-speed diesel (diesel), aviation turbine fuel and electricity out of the value-added tax scheme. Specifically, the paper finds that keeping these items out of the input tax credit mechanism (either partially or fully) would result in cascading. Through an input-output framework, this study proposes some alternatives to the proposed design of the Goods and Services Tax and assesses the implications for cascading and prices. It captures the degree of cascading across 48 sectors under different scenarios and explores alternative policy options to phase out under-recoveries of oil marketing companies on account of sales of diesel and petrol under the administered pricing mechanism.||R Kavita Rao,Sacchidananda Mukherjee
27-02-2015||economic notes||---------||GDP Sectoral Growth Rates : What Is Driving Growth?||An analysis of the new 2011-12 series of National Accounts Statistics to understand the trends of GDP growth and the sector-wise break-up. Data up to the advance estimates for 2014-15 are explored. The service sector continues to lead growth, manufacturing shows a revival, while agriculture has once again slowed down.||Anita B Shetty,J Dennis Rajakumar
27-02-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
27-02-2015||current statistics||---------||Agricultural Production (Million Tonnes) :||------------------||EPW Research Foundation
27-02-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
20-02-2015||from 50 years ago||---------||From 50 Years Ago: GATT's New Chapter :||WEEKLY NOTES GATT’s New Chapter||
20-02-2015||commentary||---------||Can an Election be Tweeted to Victory? : AAP, Arvind and a City State Called Delhi||How and why did AAP's social media campaign succeed while that of the Bharatiya Janata Party's fail? An analysis of the social media campaign of the Aam Aadmi Party in the Delhi elections.||Pamela Philipose
20-02-2015||commentary||---------||Proliferation of Astrological Services and Rising Superstitions :||Ironically, the revolution in communications and technology has also led to a manifold increase in superstitions, leading to irrational beliefs and practices. This article is based on informal discussions with the employees of a call centre in Lucknow that offers astrological services, including advice and products. Babas and television channels, apart from persuasive employees, play a big role in making such call centres profi table.||Sanjay Tiwari
20-02-2015||commentary||---------||Demographic Change and the Environment :||Though there is a fair understanding of the ways in which India's population is changing as well as of the social and economic implications of these changes, little attention has so far been paid to its possible environmental impact. This article attempts to understand how the changing demographic trends have affected the environment and seeks to identify measures both to mitigate environmental damage as well as increase resource use efficiency.||C M Lakshmana
20-02-2015||commentary||---------||Minoritarian Rule : How India’s Electoral System Created the Illusion of a BJP Landslide||India's 2014 election results showed a high degree of disproportionality in the conversion of votes to seats. The Bharatiya Janata Party won only 31% of the vote and its vote was highly geographically concentrated. The BJP's "landslide" victory was in fact due to the idiosyncrasies of India's first-past-the-post electoral system. While not unique in the country's history, the scale of the BJP's seat bonus in 2014 returns India to "minoritarian" - as opposed to majoritarian -- democracy, in which democratic outcomes are perverted by disproportionately empowering the ruling party.||Babak Moussavi,Geoffrey Macdonald
20-02-2015||commentary||---------||Enhancing PESA : The Unfi nished Agenda||Amendments proposed by the previous Congress-led union government to the Panchayat (Extension to Scheduled Areas) Act 1996 had the potential of improving upon this progressive legislation. Unfortunately, with its successor pursuing different priorities, the possibility of the amendments being passed remains rather low.||Kamal Nayan Choubey
20-02-2015||commentary||---------||Sri Lanka: A Democratic Revolution in the Making? :||Change in Sri Lanka cannot end with the defeat of Mahinda Rajapaksa. An overhaul of the executive presidency and accountability for all war crimes going back to the 1970s need to be established and a new economic and social programme needs to be undertaken. A manifesto for the new Sri Lanka.||Faizun Zackaria,Rohini Hensman
19-02-2015||referees consulted in 2014||---------||Referees Consulted in 2014||EPW apologises to the referees who may have been inadvertently left out from the above list. Corrections will be made on the EPW website.||
19-02-2015||insight||---------||The Indelible Class Identity : Ethnographic Examination of a School||How regular schooling unfolds for children should be an important concern in the light of the Right to Education Act, 2009 that makes schooling not just free, but also compulsory. While getting children to school is a central pillar of the state's mandate of promoting social justice and enabling improved opportunities and life-chances for all, the empirical data presented in this article shows how children, identified by their social milieu and even humiliated on that count, can be constrained within the processes and the ethos of learning.||Jyoti Dalal
19-02-2015||special articles||---------||Constituent Assembly Debates on Language :||Even though India's Constituent Assembly debates were informed by remarkable seriousness, scholarship, and integrity, most of the linguistic decisions taken by the Constituent Assembly, in many cases insightful, were located in consensual democracy and the domination of the elites in that body. The multilingual and multicultural ethos that is constitutive of Indian society was ignored. The focus was so much on containing the existing political safeguards available to the religious and backward minorities that the rights of linguistic minorities were compromised. In trying to prepare a blueprint for a liberal and secular democracy, the makers of the Constitution were forced to reconcile several contradictions.||Rama Kant Agnihotri
19-02-2015||special articles||---------||Health Aspects of the Environmental Impact Assessment Process in India||Impact assessments are conducted with the objective of safeguarding human health and the environment. The Environmental Impact Assessment notification of 2006, subsequent amendments and associated guidelines provide the framework to document untoward effects of proposed industrial and developmental projects on the environment, and to manage them. It is also implicitly understood that the notification covers human health concerns arising from the proposed projects. Are health concerns being adequately accounted for when projects are provided clearance? Through the use of a standardised framework, several gaps were found in health-related aspects of the notification and the two evaluated EIA reports analysed here. Further reflection is called for on the purpose of EIAs to prevent human health from becoming a casualty on the path to "development".||Adithya Pradyumna
19-02-2015||special articles||---------||Lower Pollution, Longer Lives : Life Expectancy Gains if India Reduced Particulate Matter Pollution||India's population is exposed to dangerously high levels of air pollution. Using a combination of ground-level in situ measurements and satellite-based remote sensing data, this paper estimates that 660 million people, over half of India's population, live in areas that exceed the Indian National Ambient Air Quality Standard for fine particulate pollution. Reducing pollution in these areas to achieve the standard would, we estimate, increase life expectancy for these Indians by 3.2 years on average for a total of 2.1 billion life years. We outline directions for environmental policy to start achieving these gains.||Anant Sudarshan,Anish Sugathan,Janhavi Nilekani,Michael Greenstone,Nicholas Ryan,Rohini Pande
20-02-2015||notes||---------||Immigrants and Immigration in India : A Fresh Approach||India has been receiving large numbers of immigrants, mostly from the neighbouring countries of South Asia, and some from other parts of the world, and hence she needs to be seen as a major immigration country. The article provides a detailed discussion of the problems and concerns of cross-border migrants, and India's policy stance in dealing with immigration. It argues that India needs to differentiate between the stocks and the flows of its immigrant population. Also, it would no doubt be in the larger interests of the country to control the unabated flows of migrants from across the borders and minimise their negative effects, but one must not lose sight of the components of a humane migration policy, including investment in the human capital of the migrant population.||Binod Khadria,Perveen Kumar
20-02-2015||discussion||---------||The Nicobarese 'Letters of Sufferings: In Protest, Respectfully Yours' :||I read Pankaj Sekhsaria’s “Disaster as a Catalyst for Military Expansionism: The Case of the Nicobar Islands” (EPW, 3 January 2015) with interest.||Ajay Saini
20-02-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
20-02-2015||current statistics||---------||Secondary Market Transactions in Government Securities and the Forex Market - Weeks Ending February 6 and 13, 2015 :||------------------||Clearing Corporation of India Limited
20-02-2015||current statistics||---------||Secondary Market Transactions in Government Securities, Forex Market and Money Market - January 2015 :||------------------||Clearing Corporation of India Limited
20-02-2015||postscript||---------||Art as Commodity :||Perhaps it is more accurate to define elite art in today’s world market as currency instead of commodity, and to describe galleries and auctions as the new stockmarket.||Nada Faris
20-02-2015||postscript||---------||The Great Charlie Hebdo Gamble :||In publishing the material they did, the editors at Charlie Hebdo either misread the context or were fully aware of the risk they were incurring and felt it was worth taking.||Anjum Altaf
20-02-2015||postscript||---------||Toddler Trails :||Hiking through two of the largest countries in Latin America with a 15-month-old baby in tow was a particularly rewarding, if exhausting, experience.||Dharitri Bhattacharjee
20-02-2015||postscript||---------||A God of Climbing :||Belapur in Navi Mumbai, the region’s capital for the rock-climbing sport of bouldering, is fast losing its appeal due to fervent religious worshippers.||Shyam G Menon
20-02-2015||postscript||---------||Last Lines :||------------------||
20-02-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
25-02-2015||reports from the states||---------||Then They Came For Comrade Pansare... :||Comrade Pansare’s real legacy was his ability to forge alliances with like-minded people cutting across traditional political boundaries. His mission was to take the unfinished enlightenment project in Maharashtra as far as possible.||
25-02-2015||reports from the states||---------||Challenging "Make in India" : Industrial Strikes in Gurgaon and Manesar||The workers’ agitation in the Gurgaon Manesar belt demanding better wages and working conditions questions the Bharatiya Janata Party government’s “Make in India” promises.||
27-02-2015||reports from the states||---------||AAP, Left and Their Cultural Tools : Reflections on the Delhi 2015 Campaign||The Aam Aadmi Party’s campaigning style, particularly in the run-up to the 2015 Delhi elections, has been drawn largely from the Left's cultural organisations. Yet its electoral success and popularity in Delhi has far outreached and outwitted the latter.||
20-02-2015||reports from the states||---------||Railways and the Issue of Inner Line Permit in Arunachal Pradesh : Can the Two Function Together?||With Prime Minister Narendra Modi flagging off the Naharlagun-New Delhi AC Express 20 February 2015, the remote state of Arunachal Pradesh has been formally been put on the railway map of India. However, this momentous development has stoked fear among a certain section of people, who feel that that the state would be inundated with people without the mandatory Inner Line Permit, threatening the socio-economic fabric of their society.||
27-02-2015||web exclusives||---------||Tribute to Kanu Bhavsar - Activist, Researcher, Therapist :||Kanu Bhavsar, one of the leaders of the Navnirman movement against the corrupt Congress regime in Gujarat in the 1970s, passed away in Delhi on 3 February 2015. Although Bhavsar did not publish a book, set up an institution or make a political name for himself, he touched the lives of many.||
27-02-2015||web exclusives||---------||Building Other Possible Worlds : The 99% and the 2015 Tunisian World Social Forum||The World Social Forum 2015 being held in Tunis may not present a welcome prospect for those who await the immediate consolidation of an alter-globalisation agenda. However it does suggest that the process of resistance may yet be as important as any outcome.||
13-02-2015||from 50 years ago||---------||From 50 Years Ago: When So Much Is at Stake... :||annual number, Vol XVII, Nos 5, 6 & 7, February 1965||
13-02-2015||h t parekh finance column||---------||Greece, Its International Creditors and the Euro||Can the Syriza government in Greece maintain an impossible triangle: (1) stay in power, (2) reverse austerity, and (3) stay in the euro? It will all depend on whether the European Union sees itself as a progressive ethical project of civilisation based on liberal market principles or as an anti-democratic imperialist project of international finance capital.||T Sabri Öncü
13-02-2015||commentary||---------||Regulation of Clinical Trials and the Need for Comprehensive Reform||The proposed amendments to the Drugs and Cosmetics Act, 1940 are inadequate to effect the fundamental changes that the existing regulatory regime is crying out for. A wholesale consolidation and re-enactment of the existing secondary legislation is better suited than piecemeal amendments to the task at hand.||Dhvani Mehta
13-02-2015||commentary||---------||Vasudhara Adivasi Dairy Cooperative : Model for the Second White Revolution?||India's White Revolution has made the country the largest milk producer in the world, but this has bypassed the Adivasi heartland of the central Indian plateau. The Vasudhara cooperative, which has organised 1,20,000 mostly Adivasi women from Valsad, Navsari, Dang and Dhule districts into a Rs 1,000-crore dairy business, provides a model for India's second White Revolution designed to empower Adivasi women.||Amit Patel,Shilp Verma,Tushaar Shah,Yashree Mehta
13-02-2015||commentary||---------||Financial Inclusion : Need for Differentiation between Access and Use||With no financial capacity to save and invest, a dismal record of use of bank accounts and the severe lack of trust in the current model of using business correspondents, it is extremely difficult to envisage how opening of bank accounts will slowly help inculcate the habit of saving among the poor. The government needs to rethink the measures to make financial services more inclusive and ask whether just opening bank accounts is the means to achieve it.||Indira Iyer
13-02-2015||commentary||---------||'Regulation' and 'Non-Media' Money in Media :||The close nexus between chit fund operators and politicians on one side and the media on the other typifies the growing importance of the media to political parties and to the political process in general. The path-breaking Telecom Regulatory Authority of India paper on "Media Monopolies" in August 2014 identifi ed the takeover of the media space by non-media corporates in order to alter the business environment to its advantage, as a very real threat. Like its predecessors, the National Democratic Alliance government has maintained a studied silence on all regulatory issues suggested by TRAI.||Sandeep Bhushan
13-02-2015||commentary||---------||Government vs Private Schools in ASER 2014 : Need to Avoid Binaries||The release of the independent Annual Status of Education Report has become an annual event, bringing attention to the status of learning amongst children in rural India. An examination of the 2014 report looks at the representation of data within the binary of government vs private schooling, as well as the silence of the report on the quality of private schools, and highlights the need to move beyond binaries to understand teaching-learning processes better.||Vivek Vellanki
13-02-2015||referees consulted in 2014||---------||Referees Consulted in 2014||EPW apologises to the referees who may have been inadvertently left out from the list. Corrections will be made on the EPW website.||
11-02-2015||insight||---------||Understanding Leakages in the Public Distribution System :||This article attempts to resolve the puzzle of public distribution system leakages using the latest available data. Leakages remain high, but there is clear evidence of improvement in recent years, especially in states -- including Bihar -- that have undertaken bold PDS reforms. The main source of leakages is the "above the poverty line" quota, which is due to be phased out under the National Food Security Act.||Jean Dreze,Reetika Khera
11-02-2015||special articles||---------||Right to Education and Inclusion in Private Unaided Schools : An Exploratory Study in Bengaluru and Delhi||Section 12(1)(c) of the Right of Children to Free and Compulsory Education Act, 2009 provides for inclusion of children from disadvantaged and weaker sections in private unaided schools. Although meant to foster inclusion and achieve social justice objectives, this legal provision has been highly contested and its implications for the expanding private sector in school education are not fully understood. This article is based on an exploratory study, conducted in Bengaluru and Delhi, which examines the status of implementation of this provision with a view to delineate key issues at the level of state administration, schools and parents. Using qualitative data collected from the two sites, the study compares and comments on the extent to which the provision has been able to deliver on its purported goal of inclusion. It concludes by identifying gaps and challenges that require an urgent policy response.||Annie Namala,Archana Mehendale,Rahul Mukhopadhyay
11-02-2015||special articles||---------||Implications of Land Acquisition for Dalits : Explorations in Maharashtra||This paper tries to capture the externalities that arise from land acquisition and the consequent development that occurs on the acquired land. A case study of Maan village close to Pune in Maharashtra attempts to see if the externalities arising out of the development of land show a caste bias. While the economic condition of the Dalits remains inferior to the non-Dalits, there is no difference in the benefits that have accrued to the Dalits and the non-Dalits due to the externalities. There has been a positive movement in favour of the Dalits as far as issues related to dignity, discrimination and dependence are concerned. They are mainly dependent upon non-governmental jobs, which give them an escape out of the earlier feudal relations but the kind of jobs that they engage in possibly keeps them frozen in traditional caste identities.||Dhanmanjiri Sathe
13-02-2015||special articles||---------||Subaltern Historiography to Dalit Historiography : Tracing Heterogeneity in Dalit ‘Subalternity’||Existing academic scholarship on Dalit writings and politics seems to be heavily marked by a common perception that such politics almost always focuses on claiming the state corridors of power. This article contests that view and seeks to trace the genealogy of such common academic perceptions by invoking the Subaltern Studies discourse on caste and subalternity. It argues that the relationship of Dalits vis-à-vis the state and statist ideology is heavily ambivalent, and any attempt to construct a Dalit historiography cannot proceed without recognising that ambivalence, even while it must accept and use some of the methodological insights developed by the Subaltern Studies scholars.||Kalyan Das
13-02-2015||notes||---------||Spectators or Participants? : Effects of Social Auditsin Andhra Pradesh||How does a hierarchical, top-down state respond to efforts to become directly accountable towards its citizens? This article analyses this question through India's experience with implementing social audits for the Mahatma Gandhi National Rural Employment Guarantee Act in Andhra Pradesh. Drawing on an intensive survey with MGNREGA wage-seekers, it examines the role of social audits in providing a platform for citizens to engage with the state; the state's ability to respond to grievances raised through the audit; and the effects of the audit on the local corruption market.||Soumya Kapoor Mehta,Yamini Aiyar
13-02-2015||discussion||---------||Revolutionary Armed Struggle in India :||This comment on the ever-present tussle between the Indian Naxal movement and the Indian state, as also the role of the Maoist leadership, is a response to Sumanta Banerjee's "Hanoi (1965-68), Gaza (2014): Continuity and Divergence over Half a Century" (EPW, 6 September 2014).||C P Bhambri
13-02-2015||economic notes||---------||New Series of National Accounts: A Review :||The new series of national accounts released by the Central Statistics Office has made a number of conceptual changes and has tapped new sources of data. This note presents a discussion of the key modifications in this new series of national accounts.||EPW Research  Foundation
13-02-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
13-02-2015||current statistics||---------||Trends in India's Estimates of Final Expenditures on GDP -- Quarterly and Annual (Rs Crore) :||------------------||EPW Research Foundation
13-02-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
13-02-2015||reports from the states||---------||Goa's Mining Logjam :||The stage is all set for the resumption of iron ore mining in Goa after it was suspended in the state in 2012, to curb its indiscriminate and illegal mining. The Goa government’s decision to renew the mining leases comes at a time when the economics of iron ore mining have changed and environmental concerns have gained more prominence.||
19-02-2015||reports from the states||---------||The Rot in Maharashtra : Attack on Comrade Govind Pansare||Govind Pansare fought against the right wing agenda to appropriate the syncretic political and cultural traditions of Maharashtra. This seemed to have earned him the ire of divisive forces and political opponents.||
16-02-2015||web exclusives||---------||Can An Election Be Tweeted to Victory? : AAP, Arvind and a City-State Called Delhi||An analysis of the social media campaign of the Aam Aadmi Party in the Delhi elections. How and why did AAP’social media campaign succeed while that of the Bharatiya Janata Party’s failed?||
16-02-2015||web exclusives||---------||Surveys and Wildlife Conservation :||The recent butterfly survey in the Periyar Tiger reserve indicated that indicator species are as important to the health of the ecosystem as large mammals. The author takes stock of surveys conducted in India and why they are often skewed towards large animals.||
06-02-2015||from 50 years ago||---------||From 50 Years Ago: It's Really a Political Crisis :||ANNUAL NUMBER, Vol XVII, Nos 5, 6 & 7, FEBRUARY 1965||
06-02-2015||margin speak||---------||Saffron Science :||The space given to pseudoscience of the Hindutva variety at the Indian Science Congress must be viewed as part of the ominous process of all-round saffronisation that is presently underway.||Anand Teltumbde
06-02-2015||commentary||---------||Charlie and the Underdog : The French Republic Unveiled||The mobilisations following the attacks in Paris revealed a moral and political crisis. The call for national unity should however stop delegitimising and criminalising dissenting voices and give way to critical introspection regarding France's inability to face its societal and political failures. Rather than merely hammering republican values, the acceptance of postcolonial immigrants as full-fledged citizens with specific problems, experiences, and voices represents the only path to a democratic future.||Christine Moliner,Nicolas Jaoul
06-02-2015||commentary||---------||The Charlie Story : As Seen by a Bystander in France||Charlie Hebdo has been an important part of France's public conversation, with some of its cartoonists being well known nationally for their art. The aftermath of their killings has opened up deep divisions exemplified by the contesting Je Suis Charlie and the Je Ne Suis Pas Charlie slogans. France faces a number of stark questions as it works to rebuild the republic in the post-Charlie Hebdo world.||Mohar Boeglin Banerjee
06-02-2015||commentary||---------||Equivocation in the Face of Black Reaction :||The ideology of Islamism is directly linked to protecting the energy needs of contemporary capitalism and it represents a particularly egregious tool of reaction. The Charlie Hebdo killings need to be understood in the context of the larger political economy of imperialism and the dynamics of the energy markets underpinning it.||W Paul Cockshott
05-02-2015||commentary||---------||Revisiting India Pakistan Cross-LoC Trade :||Duty-free barter trade across the Line of Control from two points in Jammu and Kashmir has grown since its initiation as a confi dence building measure in 2008. Despite growing volumes, traders face several logistical and policy hurdles that mean risky returns on trade and high transaction costs. The governments of India and Pakistan must formalise trade between the two parts of Kashmir to reduce transaction costs, uncertainties of barter trade, and trade distortions caused by duty-free trade to overall India-Pakistan trade.||Nisha Taneja,Samridhi Bimal
05-02-2015||commentary||---------||Denial of Public Funds : Handloom Sector in Union Budgets||The handloom sector has been continuously denied public funds. An analysis of budgetary allocations since 1997-98 shows that the handloom sector funding has not kept up with costs of production, and inflationary increases during the period.||Donthi Narasimha Reddy
05-02-2015||commentary||---------||Rajni Kothari Made History :||A personal tribute to one of the most infl uential theoreticians of the Indian political system.||Manoranjan Mohanty
05-02-2015||insight||---------||Understanding the Lima : Climate Conference A Proxy Battle for the 2015 Paris Agreement||What happened at the Conference of Parties of the UN Framework Convention on Climate Change in Lima in December 2014 is a prelude to the bigger battles that can be expected in the three or four meetings scheduled for this year in order to negotiate an entirely new climate agreement in Paris in December. If it took two whole weeks to reach consensus on a simple text in Lima, how much more contentious and difficult the negotiations will be for a new agreement?||Martin Khor
05-02-2015||special articles||---------||Caste and the Power Elite in Allahabad||This article examines the social composition of public institutions in Allahabad, and specifically, the share of different castes and communities in positions of power and influence - the Press Club, the university faculty, the Bar Association, the police, and the commanding positions in trade unions, non-governmental organisations, media houses, among other public institutions. These turn out to be heavily dominated by a small group of upper castes - Brahmins and Kayasthas in particular. Disadvantaged castes, for their part, are largely relegated to subordinate or menial positions. The findings raise troubling questions about the resilience of caste hierarchies. Aside from better enforcement of reservation norms, there is an urgent need for more voluntary attention to diversity in public life, of the sort that has significantly reduced ethnic or gender imbalances in other countries.||Aashish Gupta,Ankita Aggarwal,Jean Dreze
05-02-2015||special articles||---------||NREGS in Rajasthan : Rationed Funds and Their Allocation across Villages||The performance of National Rural Employment Guarantee Scheme in Rajasthan was debated for its stupendous performance in the initial years of the scheme, but also for the relative sharp decline after 2010. Based on a large representative primary survey, this paper argues that the decline in performance of this scheme in Rajasthan is not entirely due to the lack of demand. Instead, the supply-driven top-down nature of the programme has led to a "discouraged worker" syndrome with workers showing disinterest in demanding work and passively waiting for availability of NREGS work. Strengthening the demand-based nature of the NREGS may reduce the need for rationing. Simple temporal tracking of NREGS outcomes at the village level along with proper recording of demand through the Management Information System may well help detect discrimination within panchayats.||Abhiroop Mukhopadhyay,Himanshu,M R Sharan
05-02-2015||special articles||---------||Affordable Housing with Spatial Justice, For All :||The paper suggests a scheme for affordable housing in peri-urban areas. It works across all income groups, and draws its inspiration from a project started 30 years ago in north-western Mumbai which can be seen today as completely successful. It calls for a mixing of income groups in the same locality and delivers spatial equity simply by the manner of its layout, with no additional effort required in that direction. Each household pays for its housing in proportion to its income. There is no need for external subsidies, provided land and infrastructure can be made available within cost limits determined by the income profile of the city or town in which it is taken up.||Shirish B Patel
06-02-2015||notes||---------||Informal Employment Statistics : Some Issues||This article discusses issues of measurement of informal employment. It briefly traces the evolution of the conceptual framework on the informal sector, what defines the sector and informal employment, and the new questions that have been introduced in surveys to help capture informality. A snapshot of the findings on informal employment from National Sample Survey Office reports of the 61st (2004-05), 66th (2009-10) and 68th (2011-12) rounds is presented in the article.||Preet Rustagi
06-02-2015||discussion||---------||Policy Insights for Vidarbha's Economy :||This response to "Generating Agrarian Dynamism: Saurashtra's Lessons for Vidarbha" (Tushaar Shah, Yashree Mehta, Vivek Kher, and Alka Palrecha, EPW, 28 June 2014) agrees in part with the authors but contests their claim that stepping up public investment in agriculture is not the only way of accelerating agricultural growth.||Ajit Kumar
06-02-2015||current statistics||---------||Macroeconomic Indicators :||------------------||EPW Research Foundation
06-02-2015||current statistics||---------||Selected Social Development Indicators : A Comparison - India and Others :||------------------||EPW Research Foundation
