26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
16/7/1977- ||------||4365756||Adrift in Triumph?||-------------------------------------||
26/11/1977- ||special articles||4366132||Constraints on Growth and Policy Options: A Comment||-------------------------------------||T. N. Srinivasan
31/12/1977- ||from our correspondents||4366242||Rehabilitation of Prostitutes and Drug Addicts||-------------------------------------||Genevieve Lemercinier,Francois Houtart
10/12/1977- ||------||4366164||Peace Prospects||-------------------------------------||Kalyan Chaudhuri
09/7/1977- ||special articles||4365752||Rural Employment, Wages and Labour Markets in India: A Survey of Research: III||This survey of empirical work on the rural labour market is divided into three sections. Section I surveys the literature on size, characteristics and composition of the rural working force and employment, particularly the changes over time. Changes in the composition of rural work participation and in the distribution of employment, viewed together with the pattern of migration, would indicate at the macro level, adjustments of labour supply to changing income-earning opportunities. Section II covers studies on labour demand implications of agricultural growth with technological change, focusing on the respective employment effects of the seed-water-fertiliser innovation and of the tractor technology depending on the composition of its operational uses. With an to the labour demand effects of the changes in scale of production, technology, and related changes in the nature of tenancy and other agrarian institutions, the author discusses studies on employment and wage rates for agricultural labourers, on changes in labour's share of value added, and on the board correlates of regional and/or intertemporal variation in wage rates. Section III is concerned more exclusively with the relatively small amount of literature relating to the process of rural wage determination, the allocation of household labour supply and of demand for farm labour by the source of supply. The issue of seasonality is discussed more directly in this context. The various implications of institutional differences in the modes of wage payment, labour contracts, and the nature of land (lease) markets are also considered in some details there. This is the concluding installment of this paper which has been published in three parts. Section I appeared in the Review of Agriculture, June 25, and Section II was published last week.||Kalpana Bardhan
01/10/1977- ||from our correspondents||4365974||Peasants' Struggle for Land||-------------------------------------||
19/11/1977- ||------||4366086||Nursing Foreign Banks?||-------------------------------------||
23/7/1977- ||capital view||4365786||Inside the Janata Party||-------------------------------------||Romesh Thapar
23/4/1977- ||lest we forget||4365513||Murder at Bagha Purana||-------------------------------------||
28/5/1977- ||special articles||4365640||Labour and Democracy||The experience of the Emergency has underlined once again the inter-dependence of political democracy and trade union rights: the latter cannot survive under an authoritarian political order and authoritarianism cannot go unchallenged if genuinely free and strong trade union organisations, vigilant about their own rights and the interests of the working people, exist in society. The same experience also poses the important question: what needs to be done in the related fields of trade union organisation and industrial relations in order that a return to the kind of authoritarian political order that prevailed during the Emergency will never be allowed in future?||Bagaram Tulpule
14/5/1977- ||------||4365571||Built-in Shortage||-------------------------------------||
22/1/1977- ||international affairs||4365269||Philosopher of Detente||-------------------------------------||G. P. D.
30/7/1977- ||capital view||4365812||Economics, Dismal as Ever||-------------------------------------||Romesh Thapar
08/10/1977- ||from our correspondents||4366003||Uses of Racism||-------------------------------------||A. Sivanandan
05/11/1977-12/11/1977||------||4366066||Unity in Adversity||-------------------------------------||
1/2/1977- ||the elections||4365311||Satyagraha and Democracy||-------------------------------------||Arun Shourie
07/5/1977- ||from our correspondents||4365559||Women Prisoners in Presidency Jail||-------------------------------------||Kalyan Chaudhuri
18/6/1977- ||------||4365688||Self-Righteousness Abounding||-------------------------------------||
2/7/1977- ||------||41497060||Weakening Commitment||-------------------------------------||
08/1/1977- ||special articles||4365235||Managing Durgapur: Experiences of a Trade Unionist: II||This, the second part of a four-part personal account of a trade union activist's experience of managing the Durgapur Steel plant, is devoted to the internal problems of the organisation, and the larger social and cultural environment of Durgapur township. The author describes the continuing struggle between two broadly identifiable approaches to the problems of industrial management and deals with the establishment of the 'holding company', SAIL, and the consequent problems of 'centralisation'. Other kinds of constraints, mainly of an administrative and political character, and the internal problems of management are also touched upon. Finally, a brief, descriptive account of Durgapur township is provided. Parts III and IV of the article will appear in the next two issues.||Bagaram Tulpule
03/12/1977- ||------||4366136||Stormy Politics||-------------------------------------||
01/10/1977- ||from our correspondents||4365972||Many Loose Ends to Tie Up||-------------------------------------||
27/8/1977- ||from our correspondents||4365879||Janata Tries Short-Cuts||-------------------------------------||
21/5/1977- ||------||4365596||On the Wrong Track||-------------------------------------||
18/6/1977- ||capital view||4365691||Moving to the Next Contest||-------------------------------------||Romesh Thapar
23/7/1977- ||from our correspondents||4365793||Non-Teaching Staff Strike||-------------------------------------||
09/7/1977- ||------||4365740||Companies: Better Results, Bigger Plans||-------------------------------------||Hansavivek
26/2/1977- ||------||4365341||In Due Season||-------------------------------------||Kapurusa
19/11/1977- ||from our correspondents||4366091||Pledges Unredeemed, Promises Broken||-------------------------------------||Sumanta Banerjee
09/4/1977- ||from our correspondents||4365473||Negative Yield from Land Revenue||-------------------------------------||
12/3/1977- ||from our correspondents||4365394||Violent Centre, Docile Periphery||-------------------------------------||
2/7/1977- ||------||41497063||Racket in H-4 Seeds||-------------------------------------||
23/7/1977- ||from our correspondents||4365794||The Tinsukia Flare-Up||-------------------------------------||
26/11/1977- ||------||4366109||End of a Sorry Chapter||-------------------------------------||
1/2/1977- ||the economic crisis||4365323||Economic Performance since the Third Plan and Its Implications for Policy||The publication of the slim volume of the final Fifth Five-Year Plan nearly three years after the beginning of the Fifth Plan Period provides an opportunity to review the performance of the economy since Independence. In many ways the period since 1965-66, the last year of the Third Five-Year Plan, marks a watershed. It is argued that the decade 1966-1975 represents a well marked departure from the trends established during the first three plans - particularly in respect of public sector investment both in the aggregate and in crucial sectors such as transportation and communication. To a significant extent the considerably below average economic performance in the past decade could be attributed to this failure of the public sector. There is some evidence that the cutback and stagnation in public sector investment has been associated with a considerable decline in net foreign aid. It is suggested that unless the opportunity offered by the present happy position with regard to inventories of foodgrains and foreign exchange is exploited to push up public investment, long-term growth prospects of the economy may be seriously affected. Thus, a return to serious planning that was interrupted in 1966 is called for. It is hoped that the sixth plan would indeed be a plan unlike its two immediate predecessors.||T. N. Srinivasan,N. S. S. Narayana
17/9/1977- ||from our correspondents||4365928||Planning as Leisure-Time Activity||-------------------------------------||B. M.
23/7/1977- ||official paper||4365795||With Two Voices||-------------------------------------||
06/8/1977- ||capital view||4365834||'Status Quoism': Pre-Emergency Style||-------------------------------------||Romesh Thapar
22/1/1977- ||------||4365260||Repetition of 1972?||-------------------------------------||
29/10/1977- ||from our correspondents||4366057||Communist Movement in Nepal||-------------------------------------||M. D. Gurung
22/1/1977- ||special articles||4365276||Central Government Taxes: Have They Reduced Inequality?||Although the rich in India pay a considerably higher proportion of Central taxes than the poor, the system of Central taxation in the country cannot be credited with any noticeable degree of effectiveness in reducing inequality in the distribution of disposable incomes. This is because of the failure of direct taxes to mobilise a growing proportion of the incomes which have accrued to the rich. Considerable improvement in the system of Central taxation is possible and it can play an important role in reducing inequalities in the distribution of disposal incomes. For this certain far-reaching changes will be necessary. The thrust of these changes will have to be on enlarging the bases of direct taxes. This, to begin with, will require a bold and determined effort to do away with the various exemptions, reliefs, deductions and rebates which do not serve any socially useful purpose and which have the effect of reducing the progressiveness of these taxes. Second, efforts will have to be made to check the rapidly growing practice of indulging in conspicuous consumption financed through business. And third, a lot more will have to be done to unearth the tax-evaded incomes and wealth and to curb their generation and accumulation.||Anand P. Gupta
01/10/1977- ||international affairs||4365977||European Notes||-------------------------------------||G. P. D.
06/8/1977- ||------||4365831||Poets and Conspirators||-------------------------------------||
08/10/1977- ||from our correspondents||4365998||Why Did D P Mishra Quit Congress?||-------------------------------------||N. K. Singh
08/1/1977- ||from our correspondents||4365230||Homecoming for Exiles?||-------------------------------------||Brahmanand Mishra
30/4/1977- ||------||4365532||In Due Season||-------------------------------------||Kapurusa
14/5/1977- ||capital view||4365580||The Political Parade||-------------------------------------||Romesh Thapar
18/6/1977- ||special articles||4365703||Evaluation of India's Trade Policies||The criticism of the trade policies which have evolved in India since the Second Five-Year Plan has involved the proposition that India's industrialisation strategy has been incorrect and that the causes of the stagnation which the Indian economy is experiencing has to be located in the trade policies that have been followed. This criticism, if it is correct, has profound implications for our future strategies and programmes. This paper seeks to examine whether the evidence and analysis presented by the critics of Indian trade policies are adequate to warrant the conclusions drawn by them. Section I analyses the arguments and evidence in the framework of a simple analytical model and in Section II are discussed the trade policies in the context of other important issues related to India's economic development experience.||Vijay Laxman Kelkar
09/4/1977- ||from our correspondents||4365475||Printing Workers of Calcutta||-------------------------------------||Timir Basu
26/2/1977- ||------||4365335||Case for Enquiry||-------------------------------------||
23/7/1977- ||special articles||4365799||Financing New Industrial Ventures: Some Inhibiting Factors||Several deterrent factors have been responsible for the unsatisfactory performance of private sector industry. By far the most important of these, the author argues, have to do with the financing of new industrial ventures. This article discusses some of these problems and suggests for discussion possible lines of dealing with them.||D. R. Pendse
28/5/1977- ||review of management, may 1977||4365636||Exports and Future Export Plans of Large Indian Companies, 1970-75||Export development policy at the national level for the coming years will have to take into account the capability of the larger manufacturing companies to generate exports and ways and means to activate them towards incorporating export development plans on a larger scale as a part of their individual corporate development strategies. Efforts should be made, therefore, to understand the corporate development plans at the firm level and to influence these plans so that a long-term commitment is built in towards developing exports, and provision is made for the intensive marketing and other inputs that would be needed for producing the desired results. Future export policy should be based on integration of the export development plans of the larger manufacturing enterprises which are formulated within the broad framework of the objectives and priorities of the national export policy. This paper presents the results of a survey of the exports and future export plans of large Indian companies during the period 1970-75.||Charan D. Wadhva,G. R. Kulkarni
26/3/1977- ||review of agriculture, march 1977||4365437||Farm Co-operative Credit to Scheduled Castes and Scheduled Tribes||Though co-operatives were originally mooted as instruments of socio-economic transformation, including the uplift of the weakest sections in society, they have not reached these sections in any major way. This paper focuses on the scheduled castes and tribes as the weakest sections in society, and considers in the light of various data how co-operatives have performed in the different regions in the light of their original objectives.||C. L. Dadhich
15/10/1977- ||from our correspondents||4366016||After CITU What?||-------------------------------------||A. N. S.
23/4/1977- ||from our correspondents||4365518||Andhra's Roll of Honour||-------------------------------------||
03/12/1977- ||special articles||4366154||Protective Discrimination in the United States: From DeFunis to Bakke||The concept of equality which lies at the core of democratic aspirations in the US is, in actual practice, severely restricted; American society remains divided by stark racial inequalities. The need to overcome the effects of past discriminations through positive 'affirmative action' has however been recognised and given effect to in recent times through legislation and legal decisions. But these attempts at 'affirmative action' have at the same time come under attack as constituting 'reverse discrimination'. The problem of protective discrimination and the inherent contradiction between individual rights and the group categorisation which substantive equality may demand, over which the Supreme Court had deferred judgment some years ago in the case of DeFunis vs Odegaard and the University of Washington is once again before the Court in the case of Bakke vs the Regents of the University of California. Bakke, a White student, has charged the University of California authorities of practising 'reverse discrimination' by denying admission to him in the University Medical School at Davis while non-White applicants less qualified than him were admitted. The Bakke decision is expected to be the most significant in the area of race relations since the historic school desegregation ruling of the US Supreme Court in 1954. This article briefly traces the issues involved in the Bakke case and relates it to the earlier DeFunis case.||Robert L. Hardgrave,
24/12/1977- ||------||4366212||Debate on Economic Reforms||-------------------------------------||
25/6/1977- ||------||4365705||Tasks in West Bengal||-------------------------------------||
26/11/1977- ||review of management, november 1977||4366125||Administrators and Politicians: Emerging Relations||The concept of the neutrality of the civil service, taken for granted under the colonial regime, continued to guide the relation between Indian administrators and politicians even after Independence when, under the leadership of Nehru and Patel, this principle was generally respected. However, the principle came under great strain during the later period of the regime of Indira Gandhi when the concept of a committed bureaucracy was sought to be given currency as being more suitable to Indian conditions. With the political changes that came about after the March and June 1977 elections at the Centre and in many of the states, the whole problem of the relation between the administrator and the politician has assumed new, and yet vaguely perceived dimensions. This article is an attempt to analyse these new challenges facing the Indian administrative and political system.||V. Subramaniam
29/10/1977- ||------||4366049||Companies: Further Diversification||-------------------------------------||Hansavivek
28/5/1977- ||------||4365621||No Room for Illusions||-------------------------------------||
26/11/1977- ||capital view||4366111||Non-Performers and Non-Starters||-------------------------------------||Romesh Thapar
22/10/1977- ||------||4366031||Companies: Exports to the Rescue||-------------------------------------||Hansavivek
27/8/1977- ||from our correspondents||4365873||Ananda K Coomaraswamy||-------------------------------------||V. Subramaniam
10/12/1977- ||capital view||4366167||In the States||-------------------------------------||Romesh Thapar
09/7/1977- ||special articles||4365751||Take a Little, Give a Little: Direct Tax Proposals in 1977-78 Budget||The Budget proposals take a little and give a little. Except in the areas of corporate savings and investments, the proposals are of very little consequence either way. The benefit provided by the investment allowance is offset by the reimposition of the surcharge. The overall impression is one of disappointment that the Finance Minister has once again not been able to break free of traditional shackles.||Mohinder Pal Puri
16/7/1977- ||from our correspondents||4365769||Caucus Fights||-------------------------------------||
15/1/1977- ||special articles||4365256||Managing Durgapur: Experiences of a Trade Unionist: III||This, the third part of a four-part personal account of a trade union activist's experience as manager of Durgapur Steel Plant, describes various production problems encountered by the DSP management. These consisted, mainly, of inadequate and erratic supply of power and railway wagons, and the poor quality of coking coal. The trouble with the coke oven batteries, their premature deterioration, and the attempts of the management to improve the situation by repairing, rebuilding or replacing them are described. The differences the DSP management had with SAIL over the award of the contract for building a new half-battery are also touched upon. The final instalment of this account will appear next week.||Bagaram Tulpule
30/7/1977- ||------||4365804||And Then There Were None||-------------------------------------||
08/1/1977- ||------||4365219||Familiar Faces||-------------------------------------||
24/12/1977- ||from our correspondents||4366218||High Tea||-------------------------------------||Charvaka
26/2/1977- ||------||4365334||Controlled Cloth Fiasco||-------------------------------------||
07/5/1977- ||from our correspondents||4365560||The Sadhana Case||-------------------------------------||C. R. Dalvi
22/10/1977- ||------||4366026||Business as Usual||-------------------------------------||
23/7/1977- ||------||4365783||Short and Long of It||-------------------------------------||
21/5/1977- ||------||4365597||New Configurations||-------------------------------------||
19/11/1977- ||------||4366083||More Second Thoughts||-------------------------------------||
05/3/1977- ||special articles||4365379||Nationalisation of Oil Companies in India||Between 1974 and 1976, the Indian government fully took over the three foreign oil companies, Esso, Burmah-Shell and Caltex, all wholly owned subsidiaries of the largest oil multinationals, commonly known as the Oil Majors. The interesting thing about these takeovers has been the willingness with which the oil companies complied with the government's plans, a willingness quite contrary to what would normally have been expected from the Oil Majors, since in earlier periods these companies had put up stiff resistance to governmental 'interference' and consistently fought against attempts to break their monopoly over the Indian petroleum industry. This paper examines those changes in the international and Indian oil industry which are relevant to an understanding of the takeover of the oil companies.||Saumitra Chaudhury
15/1/1977- ||------||4365246||In Due Season||-------------------------------------||Kapurusa
1/2/1977- ||the elections||4365317||Election Parole||-------------------------------------||
22/1/1977- ||------||4365259||Elections||-------------------------------------||
09/7/1977- ||special articles||4365750||Budget without a Focus||For the first time in independent India, a Budget was being presented at the Centre by a non-Congress government. Both the Janata election manifesto and the utterances of some of the prominent leaders of the party had raised expectations that the Budget would look different from its predecessors. However, it has come to pass that the present Budget breaks no new ground and conforms to the pattern set by the previous budgets. The Janata policy-makers have yet to make their position clear on some basic issues. They have also not given an operational content to some of their objectives like employment-generation. It is the lack of clarity on both these counts that has led to a Budget which lacks focus.||C. Rangarajan
07/5/1977- ||special articles||4365564||Some Proposals for the Union Budget for 1977-78||The task before the new government, in presenting the Budget for 1977-78 next month, is stupendous and the constraints are numerous. The finance minister in his speech while presenting the interim budget, showed awareness of the need to rectify the fallacies of the budgetary policies pursued so far. He emphasised the adverse impact of excessive deficit financing and the need to review and recast Plan priorities. The suggestion to drastically cut the Plan outlay is, however, unwise. Instead the government should, and can, explore avenues of additional resource-raising. Some possibilities in this direction are discussed here.||K. A. Menon,M. R. Nair
30/7/1977- ||from our correspondents||4365815||Mishra in Trouble?||-------------------------------------||
06/8/1977- ||special article||4365841||Committee on Company Law and MRTP Act: Exercise in Futility||The objectives, scope and machinery for implementation of the Companies Act and the MRTP Act are very dissimilar. It is difficult to understand, therefore, why the government should have entrusted the task of reviewing both these Acts to the same Committee. The task of the present Committee, it is suggested here, should be restricted to reviewing the Companies Act. But if it is to undertake even this task satisfactorily, the composition of the Committee will have to be changed to remove the pronounced bias in favour of big business and its terms of reference will have to be redrafted. A new and separate Committee needs to be constituted to review the MRTP Act, not in isolation but together with industrial licensing policy and policy for approval of foreign collaboration agreements. The constitution of such a Committee will, however, make sense only if the government makes clear its commitment to the objectives of control of concentration of economic power and monopolies, acceleration of the production of mass consumption goods, development of appropriate technology and reducing dependence on foreign technology and capital.||A. N. Oza
25/6/1977- ||lest we forget||4365716||Massacre at Muzaffarnagar||-------------------------------------||
14/5/1977- ||from our correspondents||4365584||Need for Democratic Unity||-------------------------------------||Hiren Gogoi
22/1/1977- ||from our correspondents||4365274||Who Is Afraid of Wolf Biermann?||-------------------------------------||Ramesh Jaura
16/4/1977- ||from our correspondents||4365496||Focus on Short-Term Issues||-------------------------------------||B. M.
17/12/1977- ||------||4366190||The Brandt Visit||-------------------------------------||Ramesh Jaura
29/10/1977- ||special articles||4366061||Structural Changes in Karnataka Politics||Politics in Karnataka, has for long been characterised by a sea-saw struggle between two dominant communities - Lingayats and the Vokkaligas. Things, however, have been changing, and the changes have been most pronounced during the regime of Devaraj Urs. Certain deliberate (and occasionally crude) measures adopted by the Urs regime have been instrumental in undercutting the role of these traditional power centres. The result has been the emergence into political prominence of groups which had suffered from both Vokkaliga and Lingayat oppression. This article attempts to analyse some of these class and caste dynamics of the Urs regime.||James Manor
11/6/1977- ||capital view||4365670||Political Frame Is Lacking||-------------------------------------||Romesh Thapar
05/11/1977-12/11/1977||from our correspondents||4366071||Plan-Making Exercises||-------------------------------------||B. M.
29/10/1977- ||from our correspondents||4366050||Bleak Prospects||-------------------------------------||
24/9/1977- ||------||4365942||Indefinite Postponement of Elections?||-------------------------------------||
02/4/1977- ||------||4365443||More for the Rural Sector?||-------------------------------------||
05/3/1977- ||------||4365378||Correction: Trends in Rural Unemployment in India: Two Comments||-------------------------------------||
21/5/1977- ||------||4365598||Unexpected Initiative||-------------------------------------||
23/4/1977- ||from our correspondents||4365519||A New Spark||-------------------------------------||
21/5/1977- ||from our correspondents||4365610||'Encounters' Are Murders: Interim Report of Civil Rights Committee||-------------------------------------||
26/2/1977- ||------||4365338||Clippings||-------------------------------------||
05/11/1977-12/11/1977||from our correspondents||4366074||Travails of a Food Deficit State||-------------------------------------||
03/12/1977- ||from our correspondents||4366145||Police to Landlords' Aid||-------------------------------------||Arun Sinha
08/1/1977- ||official paper||4365233||Unconvincing Case||-------------------------------------||K. K. Taimni
1/8/1977- ||capital view||4365847||Point of Criticality||-------------------------------------||Romesh Thapar
05/3/1977- ||from our correspondents||4365373||The Poya Epoch||-------------------------------------||Nastik
18/6/1977- ||the fourth estate||4365699||Travails of an Editor||-------------------------------------||Nireekshak
12/3/1977- ||from our correspondents||4365393||Congress Terror||-------------------------------------||Ajit Roy
23/7/1977- ||------||4365779||Above Politics?||-------------------------------------||
05/3/1977- ||------||4365362||Not Fit to Print||-------------------------------------||
28/5/1977- ||business||4365623||Predictable Tactics||-------------------------------------||
30/7/1977- ||------||4365803||Monetary Portents||-------------------------------------||
05/3/1977- ||from our correspondents||4365370||New Index of Wholesale Prices||-------------------------------------||
1/2/1977- ||the economic crisis||4365321||Towards an Explanation of Crisis in a Mixed Underdeveloped Economy||The mixed economy, in country after country, has come to face a crisis. The crisis is not temporary or cyclical, but one affecting the very viability of this type of economy. A situation inevitably arises when economic growth cannot proceed further within the framework of the mixed economy without creating enormous inflationary pressures. Inflation, of course, hits at the real living standards of the urban and rural proletariat and semi-proletariat; more important, however, from the point of view of the ruling classes, it hits at the petty bourgeoisie and, in particular, the crucial articulate segment of it, the professional groups and the salariat, and throws it into the camp of the opponents of the ruling classes. In the interests of the ruling classes, the state, therefore, attempts to control inflation by cutting back its investment and retarding the pace of economic expansion. Such retardation, of course, throws workers out of employment, especially in the capital goods industries; what is more important again from the ruling class point of view, however, is that it hits at the crucial segment of the urban petty bourgeoisie in another way - educated unemployment swells as jobs do not expand rapidly enough to absorb those, usually from a petty bourgeois background themselves, who are seeking professional, technical or bureaucratic careers. Besides, such retardation spells ruin for the petty producers and small capitalists and even has the effect of choking off some of the avenues of accumulation for the monopoly capitalists. The crisis of the mixed economy lies precisely in this predicament: a continuation of economic expansion within its framework creates serious problems for the ruling class; a discontinuation of economic expansion creates equally serious problems for the ruling class. This paper discusses the question why a mixed economy inevitably leads to a crisis.||Prabhat Patnaik,S. K. Rao
23/4/1977- ||------||4365509||Kerala Model||-------------------------------------||
19/11/1977- ||from our correspondents||4366096||Problems of Reunification||-------------------------------------||Francois Houtart
1/2/1977- ||the elections||4365316||The Five-Year Emergency||-------------------------------------||
17/9/1977- ||capital view||4365926||Conspiracy or Stupidity||-------------------------------------||Romesh Thapar
25/6/1977- ||review of agriculture, june 1977||4365723||Further on the Mode of Production in Agriculture||The whole debate on the mode of production in agriculture is not as fruitless as it is sometimes made out to be. It has its use in formulating the intial propositions of a programme for agricultural development. If the propositions advanced in this paper are granted, then the present stage of agriculture in India may be described as one where though capitalism has come, the pre-capitalist mode is still prevalent and capitalist development is arrested primarily by the influence of imperialism. This suggests that the task immediately ahead is fundamentally one of full-scale capitalist development, of releasing the forces of capitalism in agriculture, to which the principal obstruction is passed by imperialism.||N. Sen Gupta
10/9/1977- ||special article||4365916||Strategy of Export-Oriented Growth: A Theoretical Note||Use of export incentives to promote exports is typically justified by the following arguments: (a) That a rise in exports enables the existing production units in the exports sector to increase the rate of utilisation of capacity or to create fresh capacity through the additional demand for such goods from the foreign market. (b) That such a rise in export earnings enables the existing units of production in the domestic economy to create and utilise capacity by making it possible for them to make the necessary complementary imports from abroad. This paper examines the feasibility of an export-led growth process initiated by the State through a set of export-promotional devices.||Sunanda Sen
01/10/1977- ||------||4365964||Alternative Arrangements?||-------------------------------------||
04/6/1977- ||from our correspondents||4365653||The Ruam Conspiracy Case||-------------------------------------||Arun Sinha
2/7/1977- ||------||41497065||Fewer 'Special Relationships'||-------------------------------------||
26/11/1977- ||special articles||4366131||Criteria for Denying Medical Termination of Pregnancy||According to the Medical Termination of Pregnancy Act, 1971, termination of pregnancy is legal if it is done in a "hospital established or maintained by government" or "in a place for the time being approved for the purpose of the Act by government", and if it is done by a "registered medical practitioner". Though, as a consequence of the Act, legally induced abortions more than trebled between 1972-73 and 1974-75, the estimated total number of abortions in the country are more than four times the legally induced ones. This study was a preliminary attempt to understand why the vast majority of women do not go in for the facilities provided by government. The study suggested that, while lack of medical facilities and social stigma may be part of the reason for this, there is also a high rate of rejection of cases by the hospitals themselves. Further, it is usually women from the lower classes and inferior social backgrounds who account for a majority of the rejected cases.||N. Baskara Rao,Ramesh Kanabargi,Shantha Kanabargi
01/10/1977- ||------||4365965||Ominous Portents||-------------------------------------||
1/2/1977- ||the economic crisis||4365325||Community Response to the Intensified Family Planning Programme||The objective of the National Population Policy was to build up a mass movement throughout the country in favour of the small family norm. The findings of this study clearly indicate that these objectives have not been achieved. In fact, at many places resort to force to impose sterilisation has precipitated quite the contrary condition - a mass movement against the family planning programme. Even in a purely quantitative sense and presuming that government figures are reliable, achieving 3.8 million sterilisations in the first six months of 1975-76 is not quite as spectacular as is being projected by the government mass media. After all, a level of 3.1 million sterilisations was reached in 1972-73 when there was large-scale use of mass vasectomy camps. A clear lesson was then learnt that such an approach could not be sustained for long. The same question can be asked about the current intensified programme. Is it feasible to keep such intense pressure on the people and on the government functionaries for any length of time, or, even throughout 1976-77? Over and above this, there is the question of the demographic profile of the acceptors of family planning under duress. This study reveals that a substantial proportion of the acceptors belonged to demographically dubious classes. Preoccupation of the entire government machinery with attainment of sterilisation targets has led to a great neglect of the other components of the National Population Policy and indeed of the entire programme to improve the lot of the weaker sections of the population. The findings of this study make a strong case for switching back to the population policy enunciated by the government of India at the Bucharest Conference and in the draft Fifth Plan document of 1974. It will require basic structural changes in the government machinery, and a very great effort to regain its lost credibility, to effectively implement that policy.||D. Banerji
16/4/1977- ||from our correspondents||4365499||Many Old Scores to Settle||-------------------------------------||
08/10/1977- ||from our correspondents||4366001||As Little and as Late as Possible||-------------------------------------||
03/12/1977- ||special articles||4366156||Hair-Splitting by the Privileged||All the developing countries have come to realise that far-reaching changes have to be made in the educational system if it has to play a dynamic role in social and economic reconstruction. However, it is a matter of common experience that these changes are very difficult to implement, most of all because the privileged who have benefited from the old system are always there to do a lot of hair-splitting and to stall reforms. The central point of the new educational system recommended by the Education Commission and accepted by Parliament in 1968 is to make education an instrument of social change, to promote equality of educational opportunity and hence social justice, and to contribute towards national development. The present debate, however, seems to be about relatively minor matters such as the structure of 10+2+3, or whether +2 should be in schools or colleges or about the 'heaviness' of the courses - perhaps all because instead of social change, status quo or even status quo ante is uppermost in our minds.||Rais Ahmed
16/4/1977- ||------||4365487||Killed in Encounters||-------------------------------------||
22/1/1977- ||------||4365263||Assaults on Sharecroppers||-------------------------------------||Ajit Roy
03/12/1977- ||------||4366139||Price Control with Some Help||-------------------------------------||
04/6/1977- ||special articles||4365661||Reshaping Health Services: A Note on Draft Plan on Rural Health Services||The contents of the Draft Plan on Rural Health Services make it obvious that the present government's health policy, like that of its predecessor, makes a lot of correct noises but spares very little effort to find out why similar ideas in the past could never actually materialise. This is a serious omission, specially in the light of the fact that the proposals of the new government regarding health coverage of rural populations are not in any way original. The draft plan ignores the available evaluations which point out the fallacies and weaknesses of the reports and recommendations on which the present policy is based.||Imrana Qadeer
22/1/1977- ||------||4365277||Richardson and Cruddas||-------------------------------------||
27/8/1977- ||international affairs||4365881||Pink Star over Western Europe?||-------------------------------------||G. P. D.
26/2/1977- ||review of management, february 1977||4365352||Workers' Participation in Management||Workers' participation in management has, for some time now, been an integral part of official policy. While the aims of the policy are unexceptionable, it is difficult to say to what extent the implementation of the actual scheme has been successful. The present paper, based on a survey of selected industrial organisations in the public and private sectors in and around Delhi, is an attempt to study the operation of the scheme.||S. P. Lavakare
31/12/1977- ||------||4366230||Rewriting History||-------------------------------------||
31/12/1977- ||------||4366231||Subsidy for Private Sector||-------------------------------------||
2/7/1977- ||special articles||41497078||Restructuring the Political Process: Agenda for the New Government||With the lifting of Emergency and the restoration of normal processes of political functioning there is a natural anxiety to resurrect all the political and social institutions and norms in the very form in which they existed before June 1975. This note argues that a mere revival of the old system will not do; that in fact, the present moment is opportune for a more radical restructuring of the Indian political system and sets out some specific proposals for such restructuring. These broadly deal with Centre-state relations and electoral and administrative reforms.||Kautilya
11/6/1977- ||------||4365664||Repairing the Arrangement||-------------------------------------||
1/2/1977- ||the elections||4365313||Week to Week||-------------------------------------||Romesh Thapar
08/1/1977- ||------||4365223||Will Government Oblige?||-------------------------------------||
17/9/1977- ||from our correspondents||4365930||Capitalist Terror in Ghaziabad||-------------------------------------||S. K. Rao
10/12/1977- ||from our correspondents||4366176||Prelude to the Desai Visit||-------------------------------------||Brahmanand Mishra
17/12/1977- ||------||4366188||Substitute for Rupee Resources||-------------------------------------||
25/6/1977- ||review of agriculture, june 1977||4365722||Home Market, Capitalism in Agriculture, and Drain of Agricultural Surplus||This paper presents an explanation of the decline in the long-term rate of growth of the Indian economy since the mid-sixties which directly relates the restricted growth of the home market to the slow development of capitalist agriculture which, in turn, is attributed by the author, at least partly, to a drain of substantial quantities of the surplus product in agriculture. The first part of the paper critically examines some of the existing explanations of the decline of the rate of growth. The second part presents the alternative explanation. The empirical implication of this alternative hypothesis is then verified in part three.||Sudipto Mundle
04/6/1977- ||business||4365648||CLB, New Santa Claus||-------------------------------------||
